unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1.59978E+12,2020/9/11 0:00,BNB/USDT,24.512,25.684,23.019,25.365,3076021.8,74167230.29,221227
1.5997E+12,2020/9/10 0:00,BNB/USDT,24.403,25.577,24.057,24.509,3221589.03,79711834.17,216248
1.59961E+12,2020/9/9 0:00,BNB/USDT,23.177,24.48,22.35,24.417,3386032.27,79809568.24,213701
1.59952E+12,2020/9/8 0:00,BNB/USDT,22.405,23.396,21.25,23.18,4193590.98,94025248.92,248700
1.59944E+12,2020/9/7 0:00,BNB/USDT,23.12,23.564,19.911,22.398,4554593.01,99281167.39,265474
1.59935E+12,2020/9/6 0:00,BNB/USDT,19.415,23.471,18.503,23.137,5373191.2,116760860.8,288653
1.59926E+12,2020/9/5 0:00,BNB/USDT,20.942,21.464,17.89,19.43,3265792.4,63456217.58,218532
1.59918E+12,2020/9/4 0:00,BNB/USDT,20.41,21.843,19.077,20.94,4451249.08,92204755.11,268872
1.59909E+12,2020/9/3 0:00,BNB/USDT,24.759,25.568,19.81,20.424,6460942.13,149240223.5,349592
1.599E+12,2020/9/2 0:00,BNB/USDT,24.756,25.908,23,24.756,4638282.25,114475450.5,266393
1.59892E+12,2020/9/1 0:00,BNB/USDT,23.167,25.672,22.822,24.756,3228209.34,77552825.66,197808
1.59883E+12,2020/8/31 0:00,BNB/USDT,23.641,24.019,22.95,23.166,1504888.98,35177709.51,125055
1.59875E+12,2020/8/30 0:00,BNB/USDT,22.951,23.9,22.903,23.642,1582433.86,37011134.36,130053
1.59866E+12,2020/8/29 0:00,BNB/USDT,23.098,23.534,22.764,22.952,1333272.92,30946160.54,129164
1.59857E+12,2020/8/28 0:00,BNB/USDT,23.129,23.609,22.624,23.095,1990551.98,45932821.05,144685
1.59849E+12,2020/8/27 0:00,BNB/USDT,22.21,23.178,21.834,23.129,2558646.21,57571722.42,170353
1.5984E+12,2020/8/26 0:00,BNB/USDT,21.4,22.531,21.282,22.212,1877357.34,41563734.53,143355
1.59831E+12,2020/8/25 0:00,BNB/USDT,22.6,22.667,21,21.4,1704436.47,37127918.21,143315
1.59823E+12,2020/8/24 0:00,BNB/USDT,21.854,23.002,21.68,22.6,1323978.32,29727499.46,116608
1.59814E+12,2020/8/23 0:00,BNB/USDT,22.217,22.261,21.554,21.853,1251991.61,27392696.35,107369
1.59805E+12,2020/8/22 0:00,BNB/USDT,22.122,22.274,21.297,22.216,1571139.74,34437428.2,124302
1.59797E+12,2020/8/21 0:00,BNB/USDT,23.127,23.35,21.711,22.123,2267255.76,51246840.87,150977
1.59788E+12,2020/8/20 0:00,BNB/USDT,22.393,23.35,22.043,23.122,1896105.42,43330483.3,131926
1.5978E+12,2020/8/19 0:00,BNB/USDT,23.016,23.279,21.81,22.376,2064063.08,46465019.34,144000
1.59771E+12,2020/8/18 0:00,BNB/USDT,23.504,23.806,22.319,23.016,1861857.37,43214622.35,129291
1.59762E+12,2020/8/17 0:00,BNB/USDT,23.54,24.081,22.94,23.503,2257776.71,53003678.03,136159
1.59754E+12,2020/8/16 0:00,BNB/USDT,23.096,23.833,22.707,23.54,2005272.88,46644081.12,145212
1.59745E+12,2020/8/15 0:00,BNB/USDT,23.141,23.82,22.755,23.107,2360235.15,54949767.17,166150
1.59736E+12,2020/8/14 0:00,BNB/USDT,21.798,23.356,21.273,23.141,3798335.65,85652682.57,205218
1.59728E+12,2020/8/13 0:00,BNB/USDT,21.503,21.896,20.669,21.789,2571288.23,54807056.31,163369
1.59719E+12,2020/8/12 0:00,BNB/USDT,21.289,22.021,20.509,21.503,2215072.53,47621948.03,154651
1.5971E+12,2020/8/11 0:00,BNB/USDT,22.655,22.792,20.6,21.278,2437916.51,52897963.79,184621
1.59702E+12,2020/8/10 0:00,BNB/USDT,22.426,22.806,22,22.656,1659355.72,37363619.14,125144
1.59693E+12,2020/8/9 0:00,BNB/USDT,22.908,22.918,22,22.416,1440236.79,32337707.59,116196
1.59684E+12,2020/8/8 0:00,BNB/USDT,22.334,22.914,21.813,22.909,1839275.06,41150934.15,120425
1.59676E+12,2020/8/7 0:00,BNB/USDT,22.757,23,21.01,22.334,3142139.9,70028435.93,152893
1.59667E+12,2020/8/6 0:00,BNB/USDT,23.235,23.274,22.5,22.76,2125780.63,48730781.91,124477
1.59659E+12,2020/8/5 0:00,BNB/USDT,22.324,23.55,22.084,23.236,3451873.87,79708058.08,175422
1.5965E+12,2020/8/4 0:00,BNB/USDT,22.064,22.465,21.439,22.323,2212028.31,48783737.55,135340
1.59641E+12,2020/8/3 0:00,BNB/USDT,20.961,22.562,20.615,22.064,3221483.44,70583697.7,177236
1.59633E+12,2020/8/2 0:00,BNB/USDT,21.641,22.25,18.546,20.959,3083866.51,63972380.15,188945
1.59624E+12,2020/8/1 0:00,BNB/USDT,20.683,21.799,20.598,21.646,2430826.19,51334478.16,143087
1.59615E+12,2020/7/31 0:00,BNB/USDT,19.988,20.88,19.95,20.686,1898997.59,38965489.25,131944
1.59607E+12,2020/7/30 0:00,BNB/USDT,19.906,20.149,19.521,19.978,1221121.31,24240726.43,90229
1.59598E+12,2020/7/29 0:00,BNB/USDT,20.18,20.435,19.779,19.901,1425583.56,28646227.65,103935
1.59589E+12,2020/7/28 0:00,BNB/USDT,19.789,20.73,19.48,20.184,3005300.19,60489627.54,193649
