code,short_name,provider,history_start_date,currency,type,style,factor,asset_class,region,return_type,inception_date,index_source,return_category,,,,,,
MQCP778E,Macquarie Commodity Risk Premium 10X,Macquarie,2009/8/28,USD,Strategy,Alpha,Multi,Commodity,Global,Excess Return,2020/10/22,Macquarie Bank Limited,-,,,,,,
NMCOLN1,Nomura Nickel 1st to Expire Futures,Nomura,1997/9/8,USD,Strategy,Beta,Multi,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Gross,,,,,,
NMCOTBO1,Nomura Soybean Oil 1st to Expire Trend,Nomura,1971/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTHO1,Nomura Heating Oil 1st to Expire Trend,Nomura,1981/2/6,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
NMCOTQS1,Nomura Gas Oil 1st to Expire Trend,Nomura,1985/6/7,USD,Strategy,Alpha,Momentum,Commodity,Global,Excess Return,2019/9/3,Nomura International Plc.,Net,,,,,,
code,period,Return p.a.,Cumulative Return,Volatility,Sharpe Ratio,Skew,Kurtosis,Calmar Ratio,Omega Ratio,Sortino Ratio,VaR,MVaR,CVaR,Avg Drawdown,Max Drawdown,Worst 20D,Positive Weeks (%),Positive Months (%),Info Ratio
2014/3/12,352.9214,278.231,476.125,231.155,1148.213,,,,,,,,,,,,,,
2014/3/13,354.3106,280.544,474.652,231.101,1149.445,,,,,,,,,,,,,,
2014/3/14,354.4878,279.832,471.919,231.259,1146.357,,,,,,,,,,,,,,
2014/3/17,356.1742,282.394,470.775,231.082,1149.789,,,,,,,,,,,,,,
2014/3/18,353.4199,287.98,471.255,231.158,1149.173,,,,,,,,,,,,,,
2014/3/19,354.2221,290.399,471.137,231.158,1150.526,,,,,,,,,,,,,,
2014/3/20,359.6054,281.789,471.328,231.093,1150.216,,,,,,,,,,,,,,
2014/3/21,361.8079,286.379,471.604,231.088,1144.842,,,,,,,,,,,,,,
2014/3/24,361.4877,286.521,471.903,231.115,1147.603,,,,,,,,,,,,,,
2014/3/25,361.7301,288.015,472.113,230.98,1144.624,,,,,,,,,,,,,,
2014/3/26,362.0489,282.75,472.123,231.01,1148.72,,,,,,,,,,,,,,
2014/3/27,361.0108,279.343,473.111,230.781,1145.81,,,,,,,,,,,,,,
2014/3/28,361.3457,279.298,472.911,230.748,1144.093,,,,,,,,,,,,,,
2014/3/31,362.6932,282.661,473.117,230.799,1147.072,,,,,,,,,,,,,,
2014/4/1,366.3166,284.849,469.654,230.775,1147.506,,,,,,,,,,,,,,
